,제목,URL,내용,사이트,채널,날짜1,날짜2,input,after preprocessing
1251,아들의 핑게,http://cafe.daum.net/hiseoulphoto/e9SQ/124?q=%ED%99%98%EC%9E%90%EB%B3%B5,"갔습니다. 아무렇게나 짧게자른 머리, 검정뿔태안경에 눈만빼고 다 가린 얼굴,환자복에 링거를 꽂고 푸른색 가운을 입고 CT촬영을 위해 금식중인 초라한 아들의 모습을...",daum,cafe,2011-01-01,2012-12-31,"아들의 핑게 갔습니다. 아무렇게나 짧게자른 머리, 검정뿔태안경에 눈만빼고 다 가린 얼굴,환자복에 링거를 꽂고 푸른색 가운을 입고 CT촬영을 위해 금식중인 초라한 아들의 모습을...","['아들', '머리', '검정', '태안', '얼굴', '환자복', '링거', '푸른색', '가운', 'CT', '촬영', '금식', '아들', '모습']"
1252,갑상선 암 - 전절제수술 강남세브란스 장항석교수님,http://cafe.daum.net/thyroidcancer/xVu/2063?q=%ED%99%98%EC%9E%90%EB%B3%B5,같다고 했지요 신랑은 간호샘 부르러 가고.. 그런데 그때... 토하고 말았어요...환자복환복... 쉬었죠... 토할때 조심해야 한다고 하더라구요 수술부위가 터지면...,daum,cafe,2011-01-01,2012-12-31,갑상선 암 - 전절제수술 강남세브란스 장항석교수님 같다고 했지요 신랑은 간호샘 부르러 가고.. 그런데 그때... 토하고 말았어요...환자복환복... 쉬었죠... 토할때 조심해야 한다고 하더라구요 수술부위가 터지면...,"['갑상선', '전절', '수술', '강남', '세브', '란스', '장항석', '교수', '신랑', '간호', '그때', '환자복', '환복', '조심', '수술', '부위']"
1253,[유인나] 인현왕후의 남자 속 최희진 코디 1화~8화,http://cafe.daum.net/dusdlakf2/4RYs/19731?q=%ED%99%98%EC%9E%90%EB%B3%B5,같아요ㅠㅠㅠㅠ 인남에서 제일 예뻤던 한복! 3화 3화에는 병원에만 있어서 그런지환자복이랑 야구잠바가 전부ㅠㅠㅠ 4화 4화도 마찬가지로 병원-도서관에만 있었기때문...,daum,cafe,2011-01-01,2012-12-31,[유인나] 인현왕후의 남자 속 최희진 코디 1화~8화 같아요ㅠㅠㅠㅠ 인남에서 제일 예뻤던 한복! 3화 3화에는 병원에만 있어서 그런지환자복이랑 야구잠바가 전부ㅠㅠㅠ 4화 4화도 마찬가지로 병원-도서관에만 있었기때문...,"['유인나', '인현', '왕후', '남자', '최희진', '코디', '한복', '병원', '환자복', '야구', '잠바', '화도', '마찬가지', '병원', '도서관']"
1254,[여우야 카페] 수술 일주일째~^^,http://cafe.daum.net/obgy5282/C3C/8736?q=%ED%99%98%EC%9E%90%EB%B3%B5,같아ㅋㅋㅋㅋㅋ 이겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 수술전병원에서 사진찰칵ㅋ환자복입구도 찰칵ㅋ 디자인하고도 찰칵ㅋ 이제수술! 아오 무서워!!!!!!ㅋㅋㅋ...,daum,cafe,2011-01-01,2012-12-31,[여우야 카페] 수술 일주일째~^^ 같아ㅋㅋㅋㅋㅋ 이겈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 수술전병원에서 사진찰칵ㅋ환자복입구도 찰칵ㅋ 디자인하고도 찰칵ㅋ 이제수술! 아오 무서워!!!!!!ㅋㅋㅋ...,"['여우야', '수술', '수술', '병원', '사진', '환자복', '입구', '디자인', '수술', '아오']"
1255,만남과 뱅!!,http://cafe.daum.net/jinho3035/LOr7/198?q=%ED%99%98%EC%9E%90%EB%B3%B5,"같이하는 소장님, 일철씨 모두모두 반가웠슴당. 솔개님과 김영미님.. (솔개님 하의는환자복..ㅋㅋ) 우체국장님.. 목발 쓰시는게 그리 어색해 보이지 않던데..(공중부양...",daum,cafe,2011-01-01,2012-12-31,"만남과 뱅!! 같이하는 소장님, 일철씨 모두모두 반가웠슴당. 솔개님과 김영미님.. (솔개님 하의는환자복..ㅋㅋ) 우체국장님.. 목발 쓰시는게 그리 어색해 보이지 않던데..(공중부양...","['만남', '소장', '일철', '솔개', '김영미', '솔개', '하의', '환자복', '우체', '국장', '목발', '공중부양']"
1256,워매 이놈의 병원은 참 심심하네요,https://cafe.naver.com/bikecargogo/457832?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImJpa2VjYXJnb2dvIiwiYXJ0aWNsZUlkIjo0NTc4MzIsImlzc3VlZEF0IjoxNjI1NDA4MDIzNjYyfQ==.QCv7clPMUvEHeWIPGEKSqW7UI6JbgFAfdnvOQOfe3aA=,개인 놋트북 가져가도 무선따윈 없고 랜선꼽는곳따위도 없어요 ㅠㅠ 스맛트폰도 아니래요 ㅠㅠ 오로지 티비신공 ㅠㅠ 외출신공으루 나오긴했지만 고작 서너시간 ㅠㅠ 광주역-롯데백화점 사이에서 환자복입...,naver,cafe,2011-01-01,2012-12-31,워매 이놈의 병원은 참 심심하네요 개인 놋트북 가져가도 무선따윈 없고 랜선꼽는곳따위도 없어요 ㅠㅠ 스맛트폰도 아니래요 ㅠㅠ 오로지 티비신공 ㅠㅠ 외출신공으루 나오긴했지만 고작 서너시간 ㅠㅠ 광주역-롯데백화점 사이에서 환자복입...,"['병원', '개인', '무선', '티비', '신공', '외출', '신공', '시간', '광주역', '롯데', '백화점', '사이', '환자복']"
1257,링거맞고있네요..,https://cafe.naver.com/malltail/531438?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im1hbGx0YWlsIiwiYXJ0aWNsZUlkIjo1MzE0MzgsImlzc3VlZEF0IjoxNjI1NDA3OTc2OTM1fQ.vYfIku7oTBqWY14xesyqzf7m2vnG0hb-flcVJAFe_U4,개인 치과만 다니다.. 대학병원치과라 그런지.. 발치수술도 간단하지않네요.. 환자복환복.. 링거도 방금 맞았어요.. 오른손에 해주셔서 불편하기까지해요~~ㅜㅜ,naver,cafe,2011-01-01,2012-12-31,링거맞고있네요.. 개인 치과만 다니다.. 대학병원치과라 그런지.. 발치수술도 간단하지않네요.. 환자복환복.. 링거도 방금 맞았어요.. 오른손에 해주셔서 불편하기까지해요~~ㅜㅜ,"['링거', '개인', '치과', '대학', '병원', '발치', '수술', '환자복', '환복', '링거', '오른손', '불편']"
1258,환자복팔아요!!,https://cafe.naver.com/joonggonara/116767016?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjoxMTY3NjcwMTYsImlzc3VlZEF0IjoxNjI1NDA3OTUxNjkwfQ==.8p49NqBi4U8TiZtVvRuuG07SUvacffWvcEP3mRL_8GM=,"개인거래(판매), 판매완료, 가격 7,000원, 직접결제, 이니P2P, 환자복 (블루or핑크), 이 판매가격이... 제품명환자복 구입시기2012 년,5월 기재희망가격7000원 먼저 적당한 가격인지 신제품 최저가와 비교해...",naver,cafe,2011-01-01,2012-12-31,"환자복팔아요!! 개인거래(판매), 판매완료, 가격 7,000원, 직접결제, 이니P2P, 환자복 (블루or핑크), 이 판매가격이... 제품명환자복 구입시기2012 년,5월 기재희망가격7000원 먼저 적당한 가격인지 신제품 최저가와 비교해...","['환자복', '개인', '거래', '판매', '판매', '완료', '가격', '직접', '결제', '환자복', '블루', 'or', '판매', '가격', '제품', '명환', '자복', '구입', '시기', '기재', '희망', '가격', '가격', '제품', '최저가', '비교']"
1259,환자복 팝니다~,https://cafe.naver.com/joonggonara/67251580?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo2NzI1MTU4MCwiaXNzdWVkQXQiOjE2MjU0MDc5NTE2OTN9.PIgTgkJtWLxLHO5zfsMHG5QTVtWsVRVX1Bed7uA_x7k=,"개인거래(판매), 판매완료, 가격 9,000원, 직접결제, 환자복, 판 매 양 식 아이디이메일거주지역경기도 군포시판매 제품명환자복구입시기희망가격9000 신제품 최...",naver,cafe,2011-01-01,2012-12-31,"환자복 팝니다~ 개인거래(판매), 판매완료, 가격 9,000원, 직접결제, 환자복, 판 매 양 식 아이디이메일거주지역경기도 군포시판매 제품명환자복구입시기희망가격9000 신제품 최...","['환자복', '개인', '거래', '판매', '판매', '완료', '가격', '직접', '결제', '환자복', '아이디', '이메일', '거주', '지역', '경기도', '군포시', '판매', '제품', '명환', '자복', '구입', '시기', '희망', '가격', '신제품']"
1260,귀여운환자복!!!!!! 환자복 만원에팜,https://cafe.naver.com/joonggonara/76289899?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo3NjI4OTg5OSwiaXNzdWVkQXQiOjE2MjU0MDc5NTE2OTV9.lkBTbJtVbbfG0B7tiEvBlP7vGjG6fkIWNvTbcG56Toc=,"개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 파란색환자복만원에팔아요 배송비는착불이구요 귀여워요ㅎㅎ ***********",naver,cafe,2011-01-01,2012-12-31,"귀여운환자복!!!!!! 환자복 만원에팜 개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 파란색환자복만원에팔아요 배송비는착불이구요 귀여워요ㅎㅎ ***********","['환자복', '환자복', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', '파란색', '환자복', '배송', '착불']"
1261,환자복 팝니다~!!^^,https://cafe.naver.com/joonggonara/66899124?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo2Njg5OTEyNCwiaXNzdWVkQXQiOjE2MjU0MDc5NTE2OTF9.V1Xg2YDWDUI_qs4NWoVQoh1wFTUMfI-nBi6MMaESwu8=,"개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 판 매 양 식 아이디썩쏘이메일********@*******.***거주지역화성시 우정읍 360판...",naver,cafe,2011-01-01,2012-12-31,"환자복 팝니다~!!^^ 개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 판 매 양 식 아이디썩쏘이메일********@*******.***거주지역화성시 우정읍 360판...","['환자복', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', '아이디', '이메일', '거주', '지역', '화성시', '우정읍']"
1262,환자복 1벌 팔아여~~,https://cafe.naver.com/joonggonara/67298760?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo2NzI5ODc2MCwiaXNzdWVkQXQiOjE2MjU0MDc5NTQ1NzN9.uX_TefBl88OhJaKJqXKgoVkfTgXiqUYpAvdPIHaqT2o=,"개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 판 매 양 식 아이디이메일싸이,블로그,타카페,타사이트 링크시 삭제 및 강퇴거주지역도,시,동까지...",naver,cafe,2011-01-01,2012-12-31,"환자복 1벌 팔아여~~ 개인거래(판매), 판매중, 가격 10,000원, 직접결제, 환자복, 판 매 양 식 아이디이메일싸이,블로그,타카페,타사이트 링크시 삭제 및 강퇴거주지역도,시,동까지...","['환자복', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', '아이디', '이메일', '싸이', '블로그', '카페타', '사이트', '크시', '삭제', '강퇴', '거주', '지역', '시동']"
1263,환자복 s 사이즈 급매!,https://cafe.naver.com/musicstar2/8527660?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Im11c2ljc3RhcjIiLCJhcnRpY2xlSWQiOjg1Mjc2NjAsImlzc3VlZEF0IjoxNjI1NDA3OTU2MjQ0fQ==.WZtvfVkc5yKpKhni2UGV2nBqt3IEZ9Xf_FT1cpupWjM=,"개인거래(판매), 판매중, 가격 12,000원, 직접결제, 환자복, (Tip) [글제목]에 물품명/물품가격을... 물 품 명 :환자복 4. 물품설명 :환자복 s 사이즈 입니다 5. 구입가격 : (중고, 신상) 6. 판매가격 :1.2 7....",naver,cafe,2011-01-01,2012-12-31,"환자복 s 사이즈 급매! 개인거래(판매), 판매중, 가격 12,000원, 직접결제, 환자복, (Tip) [글제목]에 물품명/물품가격을... 물 품 명 :환자복 4. 물품설명 :환자복 s 사이즈 입니다 5. 구입가격 : (중고, 신상) 6. 판매가격 :1.2 7....","['환자복', '사이즈', '급매', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', 'Tip', '제목', '물품명', '물품', '가격', '환자복', '물품', '설명', '환자복', '사이즈', '구입', '가격', '신상', '판매', '가격']"
1264,플랫슈즈 에나멜구두 돌청스키니 가디건多 플리츠치마 나이키에어...,https://cafe.naver.com/ro11ypop/40282?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6InJvMTF5cG9wIiwiYXJ0aWNsZUlkIjo0MDI4MiwiaXNzdWVkQXQiOjE2MjU0MDc5NTc5NTR9.m-ZUcf-zgig_qzJkPVLQQwfkReZvFZFz5NESb6NeNxs=,"개인거래(판매), 판매중, 가격 132원, 직접결제, dh, 1환자복 운포1.0 사이즈 m 체육대회에서단체로해서 입을수있고 집에잠옷으로 리폼해입을수있어요 ㅎ 2검...",naver,cafe,2011-01-01,2012-12-31,"플랫슈즈 에나멜구두 돌청스키니 가디건多 플리츠치마 나이키에어... 개인거래(판매), 판매중, 가격 132원, 직접결제, dh, 1환자복 운포1.0 사이즈 m 체육대회에서단체로해서 입을수있고 집에잠옷으로 리폼해입을수있어요 ㅎ 2검...","['플랫', '슈즈', '에나멜', '구두', '스키니', '가디건', '플리츠', '치마', '나이키', '개인', '거래', '판매', '판매', '가격', '직접', '결제', 'dh', '환자복', '사이즈', '체육', '단체', '잠옷']"
1265,환자복팔아용~~~새거!!,https://cafe.naver.com/joonggonara/67829997?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjo2NzgyOTk5NywiaXNzdWVkQXQiOjE2MjU0MDc5NTE2OTJ9.GQReOVbVOd-nkKjQBSOWrc-QIT4SRnDiHI0lCI5s4uU=,"개인거래(판매), 판매중, 가격 1원, 직접결제, 환자복, 전에 엄마가 요양보호사학원할때 마네킹한테... ㅎㅎ.... 그냥 반티사이트아무데나 들어가서 환자복치면 나오는 그 디자인이에요~문의 빨리주세용~~~~ㅠㅠ",naver,cafe,2011-01-01,2012-12-31,"환자복팔아용~~~새거!! 개인거래(판매), 판매중, 가격 1원, 직접결제, 환자복, 전에 엄마가 요양보호사학원할때 마네킹한테... ㅎㅎ.... 그냥 반티사이트아무데나 들어가서 환자복치면 나오는 그 디자인이에요~문의 빨리주세용~~~~ㅠㅠ","['환자복', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', '엄마', '요양', '보호사', '학원', '마네킹', '사이트', '환자복', '디자인', '요문']"
1266,환자복 싸요~,https://cafe.naver.com/joonggonara/135404010?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Impvb25nZ29uYXJhIiwiYXJ0aWNsZUlkIjoxMzU0MDQwMTAsImlzc3VlZEF0IjoxNjI1NDA3OTU0NTczfQ==.lvFfHwJ9yo-foYebYfT99JdGGqWFZR4E3a_ltaVWgF0=,"개인거래(판매), 판매중, 가격 8,000원, 직접결제, 환자복, 이 판매가격이 적당한지 궁금하세요? 해당... 한번입은분홍 환자복 팔아요~ 위아래 합쳐서 8000원!!! 연락주세요~ ***-****-**** 위 항목을 (거래금지...",naver,cafe,2011-01-01,2012-12-31,"환자복 싸요~ 개인거래(판매), 판매중, 가격 8,000원, 직접결제, 환자복, 이 판매가격이 적당한지 궁금하세요? 해당... 한번입은분홍 환자복 팔아요~ 위아래 합쳐서 8000원!!! 연락주세요~ ***-****-**** 위 항목을 (거래금지...","['환자복', '개인', '거래', '판매', '판매', '가격', '직접', '결제', '환자복', '판매', '가격', '해당', '분홍', '환자복', '위아래', '연락', '주세요', '항목', '거래', '금지']"
1267,꿈처럼..,http://cafe.daum.net/nextwecan/86hk/214?q=%ED%99%98%EC%9E%90%EB%B3%B5,거다. 피는 계속 쏟아졌다. 병원에서는 누워만 있으라고 했다. 선택유산전날환자복을 입고 링겔을 꽂고 병원 근처 식당을 찾았다. 몰래 나왔다. 늦은시간인지라 식당이...,daum,cafe,2011-01-01,2012-12-31,꿈처럼.. 거다. 피는 계속 쏟아졌다. 병원에서는 누워만 있으라고 했다. 선택유산전날환자복을 입고 링겔을 꽂고 병원 근처 식당을 찾았다. 몰래 나왔다. 늦은시간인지라 식당이...,"['계속', '병원', '선택', '유산', '전날', '환자복', '병원', '근처', '식당', '시간', '식당']"
1268,작별,https://cafe.naver.com/lung/3976?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6Imx1bmciLCJhcnRpY2xlSWQiOjM5NzYsImlzc3VlZEF0IjoxNjI1NDA4MDM1Nzk2fQ==.2zbQmTLXmLMXrrIWgYf2hs6Y-I_aaqDbdXBveQbDIE4=,거부하고 환자복도 벗어놓은채 퇴원하려는것을 애원하고 울고불고 매달려 원이나 없게 하자고 억지로 떠밀어 다시 병실에 누이고 암에대한 아무런 정보도 없는상태에서 무엇인가 지푸라기라도 잡는...,naver,cafe,2011-01-01,2012-12-31,작별 거부하고 환자복도 벗어놓은채 퇴원하려는것을 애원하고 울고불고 매달려 원이나 없게 하자고 억지로 떠밀어 다시 병실에 누이고 암에대한 아무런 정보도 없는상태에서 무엇인가 지푸라기라도 잡는...,"['작별', '거부', '환자복', '퇴원', '애원', '병실', '정보', '지푸라기']"
1269,사각+광대+앞턱 어제수술받고왔어요 히힛(사진추가),http://cafe.daum.net/zzangbuddy/FN2z/1771?q=%ED%99%98%EC%9E%90%EB%B3%B5,거에요 ㅠ.ㅠ 콩닥콩닥 안내데스크에서 예쁜 언니에게 접수를 끝내고 깨끗히 세안을 하고환자복으로 환복 원장쌤과의 마지막으로 안면윤곽 수술전 상담을 기다렸죠...,daum,cafe,2011-01-01,2012-12-31,사각+광대+앞턱 어제수술받고왔어요 히힛(사진추가) 거에요 ㅠ.ㅠ 콩닥콩닥 안내데스크에서 예쁜 언니에게 접수를 끝내고 깨끗히 세안을 하고환자복으로 환복 원장쌤과의 마지막으로 안면윤곽 수술전 상담을 기다렸죠...,"['사각', '광대', '앞턱', '수술', '사진', '추가', '안내', '데스크', '언니', '접수', '세안', '환자복', '환복', '원장', '마지막', '윤곽', '수술', '상담']"
1270,흥덕인의 매너십,https://cafe.naver.com/hdmom/76824?art=ZXh0ZXJuYWwtc2VydmljZS1uYXZlci1zZWFyY2gtY2FmZS1wcg==.eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYWZlVHlwZSI6IkNBRkVfVVJMIiwiY2FmZVVybCI6ImhkbW9tIiwiYXJ0aWNsZUlkIjo3NjgyNCwiaXNzdWVkQXQiOjE2MjU0MDgwMDgwMTN9.m8LcHi9cLGYUuekarB1Wfnouo1xZw9nqi4P20ejAhz4=,건널목에선 신호 무시해대는 차 신호 무시하고 건너는 어른들 아예 대로변에서 서 있는... 환자복 입고 담배 물며 거니는 환자들... 보행이 어려울 정도로 막무가내 주차 우리 서로 매너 좀 지키며 삽시다,naver,cafe,2011-01-01,2012-12-31,흥덕인의 매너십 건널목에선 신호 무시해대는 차 신호 무시하고 건너는 어른들 아예 대로변에서 서 있는... 환자복 입고 담배 물며 거니는 환자들... 보행이 어려울 정도로 막무가내 주차 우리 서로 매너 좀 지키며 삽시다,"['흥덕', '매너', '건널목', '신호', '무시', '신호', '무시', '어른', '대로변', '환자복', '담배', '환자', '보행', '막무가내', '주차', '매너']"
1271,사랑하기엔 짧았던 시간 17,http://cafe.daum.net/runtobigbang/2cCb/38913?q=%ED%99%98%EC%9E%90%EB%B3%B5,"건지 옛생각이 어렴풋이 생각나 이불을 걷어내고는 또 슬리퍼를 찍찍 끌고는환자복차림으로 병원밖을 나갔다. 오늘은 맑았고, 햇빛이 강하게 내리쬐었다. 여전한...",daum,cafe,2011-01-01,2012-12-31,"사랑하기엔 짧았던 시간 17 건지 옛생각이 어렴풋이 생각나 이불을 걷어내고는 또 슬리퍼를 찍찍 끌고는환자복차림으로 병원밖을 나갔다. 오늘은 맑았고, 햇빛이 강하게 내리쬐었다. 여전한...","['사랑', '시간', '생각', '이불', '슬리퍼', '환자복', '차림', '병원', '햇빛']"
1272,안녕하세요 회원님들 덕분에 수술 잘 마치고 퇴원했습니다.,http://cafe.daum.net/liverguide/Nkps/6805?q=%ED%99%98%EC%9E%90%EB%B3%B5,걸 못 지켜 8시에 병원에 도착했습니다. 가자마자 간호사 선생님께 한소리 듣고환자복으로 갈아 입은후 기본적인 인터뷰를 진행했습니다. 뭐 특별한 내용은 없습니다...,daum,cafe,2011-01-01,2012-12-31,안녕하세요 회원님들 덕분에 수술 잘 마치고 퇴원했습니다. 걸 못 지켜 8시에 병원에 도착했습니다. 가자마자 간호사 선생님께 한소리 듣고환자복으로 갈아 입은후 기본적인 인터뷰를 진행했습니다. 뭐 특별한 내용은 없습니다...,"['안녕', '회원', '덕분', '수술', '퇴원', '병원', '도착', '간호사', '선생', '소리', '환자복', '기본', '인터뷰', '진행', '특별', '내용']"
1273,나의 가장 힘든 순간이 가장 안전할 때라,http://cafe.daum.net/peterhan/4M7R/3804?q=%ED%99%98%EC%9E%90%EB%B3%B5,"걸 안 것은 삼일 째 되는 날이었고, 너무도 창피해서 나는 도망을 쳐 나왔다.환자복을 입은 채로, 그 뒤로 신문사 총무님의 집에서 안정을 취하면서 일주일을 지냈고...",daum,cafe,2011-01-01,2012-12-31,"나의 가장 힘든 순간이 가장 안전할 때라 걸 안 것은 삼일 째 되는 날이었고, 너무도 창피해서 나는 도망을 쳐 나왔다.환자복을 입은 채로, 그 뒤로 신문사 총무님의 집에서 안정을 취하면서 일주일을 지냈고...","['창피', '도망', '환자복', '신문사', '총무', '안정']"
1274,"&#39;루나틱&#39;이라고 들어봐써 언니들? 사는게 힘들때, 재미...",http://cafe.daum.net/subdued20club/LxCT/37906?q=%ED%99%98%EC%9E%90%EB%B3%B5,걸어나갘ㅋㅋㅋ 그러고 무대에 올라가ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 난 딱 정가운데라 몰랐는데 사람들이 웅성거려서 보니깐ㅋㅋㅋㅋ 옆에환자복입은 사람들이 막...,daum,cafe,2011-01-01,2012-12-31,"&#39;루나틱&#39;이라고 들어봐써 언니들? 사는게 힘들때, 재미... 걸어나갘ㅋㅋㅋ 그러고 무대에 올라가ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 난 딱 정가운데라 몰랐는데 사람들이 웅성거려서 보니깐ㅋㅋㅋㅋ 옆에환자복입은 사람들이 막...","['루나', '언니', '재미', '무대', '가운데', '사람', '웅성', '환자복', '사람']"
1275,이야기 여덟- 긴 목욕과 입원,http://cafe.daum.net/JaYeon/Nm98/137?q=%ED%99%98%EC%9E%90%EB%B3%B5,걸음을 옮긴다. 병원의 느린 엘리베이터는 항암치료로 머리가락이 한 올도 없는환자복사람들과 동승을 한다. 곧 내 모습이 될 빈 머리……앞과 옆 환자들을 나는 차마...,daum,cafe,2011-01-01,2012-12-31,이야기 여덟- 긴 목욕과 입원 걸음을 옮긴다. 병원의 느린 엘리베이터는 항암치료로 머리가락이 한 올도 없는환자복사람들과 동승을 한다. 곧 내 모습이 될 빈 머리……앞과 옆 환자들을 나는 차마...,"['이야기', '목욕', '입원', '걸음', '병원', '엘리베이터', '항암', '치료', '머리', '가락', '환자복', '사람', '동승', '모습', '머리', '환자']"
1276,맹장수술,http://cafe.daum.net/Joeunsesang/333T/179?q=%ED%99%98%EC%9E%90%EB%B3%B5,"검사로,오후는 입원실이 나기를 기다려 저녁이 다되어 멀쩡한듯 보이는 사람이환자복을 갈아입었다 재촉하는 대장에게 수술실은 오늘따라 응급환자들로 붐벼서 내 차례...",daum,cafe,2011-01-01,2012-12-31,"맹장수술 검사로,오후는 입원실이 나기를 기다려 저녁이 다되어 멀쩡한듯 보이는 사람이환자복을 갈아입었다 재촉하는 대장에게 수술실은 오늘따라 응급환자들로 붐벼서 내 차례...","['맹장', '수술', '검사', '오후', '입원실', '나기', '저녁', '사람', '환자복', '재촉', '대장', '수술실', '응급', '환자', '차례']"
1277,감사와 사랑의 호흡.,http://cafe.daum.net/truenature/7pe3/2148?q=%ED%99%98%EC%9E%90%EB%B3%B5,검사와 준비를 마치고 내일 오전 10시 30분...수술시간이 정해졌습니다. 병실에서환자복을 입으니 남편도 영락없는 환자로 변신합니다.^^* 집에 가서 쉬고 내일 오라며...,daum,cafe,2011-01-01,2012-12-31,감사와 사랑의 호흡. 검사와 준비를 마치고 내일 오전 10시 30분...수술시간이 정해졌습니다. 병실에서환자복을 입으니 남편도 영락없는 환자로 변신합니다.^^* 집에 가서 쉬고 내일 오라며...,"['감사', '사랑', '호흡', '검사', '오전', '수술', '시간', '병실', '환자복', '남편', '환자', '변신']"
